city	state	permalink	created_at	lat	long	color
Fort Lauderdale	FL	znevan-84-fcbegf-one-tevyy	25/08/14 19:54	26.085916	-80.173402	blue
Scottsdale	Az	onq-jngre-oerjvat	25/08/14 22:43	33.497244	-111.924642	blue
Los Angeles	CA	zrna-terraf	26/08/14 18:00	34.084101	-118.361167	blue
Greenfield	Ohio	guerr-fcbbaf-qvare	26/08/14 19:16	39.351453	-83.381961	blue
Chicago	il	puvpntb-tevaq	26/08/14 20:04	41.977961	-87.660213	blue
Leesburg	Virginia	orre-wbvag-oerjrel-yrrfohet	26/08/14 21:29	39.112629	-77.554014	blue
Omaha	NE	fpevcgbja-oerjvat-pbzcnal	26/08/14 22:13	41.257968	-95.97287	blue
Los Angeles	CA	p2betnavpf	26/08/14 22:34	34.101018	-118.32931	blue
San Francisco	CA	ynml-orne	26/08/14 22:51	37.760485	-122.419762	blue
Battle Creek	MI	ubtmvyyn-ood-cvg	27/08/14 17:40	42.297606	-85.216062	blue
Sioux Falls	Sd	z-o-unfxrgg-qryvpngrffra	27/08/14 18:23	43.543738	-96.726562	blue
Long Beach 	CA	wbivab-f-cvmmn	28/08/14 19:49	33.860084	-118.180952	blue
Detroit	MI	hsb-snpgbel	28/08/14 20:06	42.332189	-83.06683	blue
Chicago	IL	yhyn-pnsr	28/08/14 20:44	41.926944	-87.707261	blue
San Jose	CA	grfg-erfgnhenag	28/08/14 21:24	37.371051	-121.923649	blue
Chicago	IN	vaql-pnsr	29/08/14 16:30	41.611897	-87.481099	blue
Prairieville	LA	gur-vgnyvna-objy	29/08/14 19:21	30.327708	-90.980927	blue
Middleburg Heights	OH	fgbaroebbx-pyho-ubhfr	29/08/14 20:38	41.35819	-81.81513	blue
Richmond	VA	blfgre-f-crney	29/08/14 20:52	37.569041	-77.474449	blue
Green Bay	WI	uvagreynaq-oerjrel-terra-onl	29/08/14 21:05	44.518933	-88.019631	blue
New York	NY	xvat-orr	29/08/14 21:13	40.727519	-73.983842	blue
Gilbert	AZ	yvfn-f-ehz-pnxr	29/08/14 21:40	33.346044	-111.830543	blue
Milwaukee	WI	cyrnfnag-xnsr	29/08/14 22:28	43.050723	-87.904536	blue
Anaheim	CA	sn-fnv-gunv-phvfvar	30/08/14 00:08	33.832715	-117.9242	blue
Astoria	New York	fhtne-sernx	02/09/14 16:03	40.764514	-73.916912	blue
Oak Bluffs	MA	pbbc-qrivyyr	02/09/14 17:18	41.456783	-70.557816	blue
Norwalk	CT	wnk-pb	02/09/14 17:42	41.100508	-73.419541	blue
Los Angeles	CA	fgngvba-one-tevyy	02/09/14 18:09	34.073121	-118.375979	blue
