permalink	city	lat	long	created_at	Projet	puissance	color	power
355 Vejlevej Bramdrupdam Denmark 	Bramdrupdam	55.526128	9.4640489		CORRIDOR GREAT	50 kW	green	50
1 Scheelsmindevej Aalborg Denmark 	Aalborg	57.02215529	9.904574300		CORRIDOR GREAT	50 kW	green	50
135 Hjallesevej Odense Denmark 	Odense	55.380903	10.394223		CORRIDOR GREAT	50 kW	green	50
1 Schleswag-Heingas-Platz Quicborn Germany	Quicborn	53.7449952	9.941645800		CORRIDOR GREAT	50 kW	green	50
1 Zum Windpark (Lenhsahn) Germany	(Lenhsahn)	54.2199878	10.8995300		CORRIDOR GREAT	50 kW	green	50
22145 Braak Braaker Môhle Germany	Braaker Môhle	53.6154895	10.2206985		CORRIDOR GREAT	50 kW	green	50
Am Waizenhof 10	Aichstetten Germany	47.8804	10.0406	21/12/15	fastE	150 kW	blue	150
Am Achernsee 1	Achern Germany	48.6408	8.03746	23/12/15	fastE	150 kW	blue	150
Sylvain Dupuislaan 299	Anderlecht Belgium	50.8381	4.28532	17/05/16	fastE	150 kW	blue	150
Rue Jean Jaures 33	Ans Belgium	50.6533	5.5286	04/05/17	fastE	150 kW	blue	150
Rijnkaai 37	Antwerpen Belgium	51.2301	4.40258	17/05/16	fastE	150 kW	blue	150
Bôrgermeister-Môller-Stra_e 3	Asbach-B_umenheim Germany	48.6738	10.8252	17/11/16	fastE	150 kW	blue	150
Buch_ckerring  44	Bad Rappenau Germany	49.2119	9.07725	23/12/15	fastE	150 kW	blue	150
Ludwig-Erhard-Ring 2	Berg / Neumarkt Germany	49.313	11.4754	09/02/17	fastE	150 kW	blue	150
Lotte-Laserstein-Stra_e	Berlin Germany	52.4757	13.3642	18/09/15	fastE	150 kW	blue	150
Rudolf-Diesel-Str. 4	Bernau Germany	52.6859	13.569	25/10/16	fastE	150 kW	blue	150
Boulevard de l'Europe 3	Bierges Belgium	50.7115	4.60482	10/04/17	fastE	150 kW	blue	150
Luitenant Lippenslaan 66	Borgerhout Belgium	51.2094	4.44642	10/05/17	fastE	150 kW	blue	150
Torhoutse Steenweg 218	Brugge Belgium	51.1941	3.19796	21/09/16	fastE	150 kW	blue	150
William Degouve de Nuncquesstraat 2	Brussels Belgium	50.8482	4.40873	13/05/16	fastE	150 kW	blue	150
Niorter Str. 20	Coburg Germany	50.2873	10.9853	21/02/17	fastE	150 kW	blue	150
Zunftstra_e 12	Dessau-Ro_lau Germany	51.8173	12.2184	30/10/15	fastE	150 kW	blue	150
Rh_nhof 1	Eichenzell Germany	50.4885	9.70828	13/04/16	fastE	150 kW	blue	150
Max-Eyth-Stra_e 1	Ellwangen (Jagst) Germany	48.956	10.1827	29/06/16	fastE	150 kW	blue	150
Merianstra_e 5	Emsbôren Germany	52.3594	7.26481	05/07/17	fastE	150 kW	blue	150
Driehoekstraat 3	Erembodegem (Aalst) Belgium	50.9132	4.03167	11/01/16	fastE	150 kW	blue	150
Gewerbepark Frixing 3	Erharting Germany	48.2726	12.55	21/02/17	fastE	150 kW	blue	150
Auf dem Linnes 1	Erlensee -Neuberg Germany	50.1826	9.00693	14/12/16	fastE	150 kW	blue	150
Brôsseler Stra_e 7003	Frankfurt Germany	50.1108	8.65241	14/09/15	fastE	150 kW	blue	150
Thea-Rasche-Stra_e	Frankfurt am Main Germany	50.0553	8.58734	30/06/17	fastE	150 kW	blue	150
Brusselsesteenweg 505	Gent Belgium	51.0326	3.75836	22/09/16	fastE	150 kW	blue	150
Rheinfelser Stra_e  101	Gie_en Germany	50.5296	8.60704	09/05/17	fastE	150 kW	blue	150
Bahnhofsplatz  1	G_ttingen Germany	51.5367	9.92806	16/06/17	fastE	150 kW	blue	150
Grifter Stra_e 2	Guxhagen Germany	51.2026	9.4687	06/06/16	fastE	150 kW	blue	150
G_rtnerstra_e 169MediaMarkt	Halstenbek Germany	53.6296	9.86712	28/12/16	fastE	150 kW	blue	150
Gro_moorbogen 1	Hamburg Germany	53.4612	10.0113	21/08/15	fastE	150 kW	blue	150
Scandinavian-Park 1	Handewitt Germany	54.7782	9.33385	19/05/17	fastE	150 kW	blue	150
Fritz-Thiedemann-Ring 40	Heide Germany	54.1773	9.09232	07/07/16	fastE	150 kW	blue	150
Donaustra_e 8	Hengersberg Germany	48.7656	13.0465	11/07/16	fastE	150 kW	blue	150
Kraftsdorfer Stra_e 1	Hermsdorf Germany	50.8898	11.8727	29/10/15	fastE	150 kW	blue	150
An der Autobahn O 2	Hilpoltstein Germany	49.161	11.2602	18/11/16	fastE	150 kW	blue	150
Bayreuther Stra_e 3	Himmelkron Germany	50.0563	11.6095	02/02/17	fastE	150 kW	blue	150
Zum Raukler 1	Hohenwarsleben Germany	52.1741	11.4953	05/04/16	fastE	150 kW	blue	150
Otto-Hahn-Stra_e  1	Ingolstadt Germany	48.7838	11.4781	30/10/15	fastE	150 kW	blue	150
Wankelstra_e  3	Ingolstadt Germany	48.7475	11.4725	27/06/16	fastE	150 kW	blue	150
Avenue de Luxembourg 1	Jambes Belgium	50.4636	4.88747	25/10/16	fastE	150 kW	blue	150
Robert-Bosch-Stra_e 10	Jettingen-Scheppach Germany	48.411	10.4398	10/03/16	fastE	150 kW	blue	150
Eugen-Ensslin-Stra_e 2	Kehl Germany	48.5792	7.80923	03/03/17	fastE	150 kW	blue	150
Edisonstr. 44	Kiel Germany	54.2778	10.1613	19/05/17	fastE	150 kW	blue	150
Rosengartenweg 1	Kirchheim an der Weinstra_e Germany	49.5541	8.18456	21/03/17	fastE	150 kW	blue	150
